gen#;sumfit;avgfit;minfit;maxfit
16;20.6211;2.06211;1.14622;3.55961
17;25.0804;2.50804;1.081;7.0605
18;18.0469;1.80469;1.081;2.85638
19;17.6912;1.76912;1.081;4.35055
20;15.4702;1.54702;1.081;2.03382
21;16.6264;1.66264;1.02968;2.87957
22;15.6125;1.56125;1.02968;2.28071
23;13.0437;1.30437;1.02968;1.87285
24;11.7521;1.17521;1.02968;1.31744
25;12.0412;1.20412;0.970221;1.48465
26;11.9077;1.19077;0.970221;1.71237
27;10.6315;1.06315;0.970221;1.20202
28;10.4062;1.04062;0.970221;1.08495
29;9.63173;0.963173;0.301935;1.10606
30;7.18448;0.718448;0.282545;1.19548
31;6.21022;0.621022;0.0993969;1.06549
32;6.80234;0.680234;0.0533833;1.02123
33;7.41411;0.741411;0.0533833;1.02123
34;7.05975;0.705975;0.0533833;1.03007
35;5.11;0.511;0.0533833;1.00615
36;4.32814;0.432814;0.0530157;1.00929
37;4.77246;0.477246;0.00512143;0.881189
38;4.1262;0.41262;0.00512143;0.881189
39;3.25514;0.325514;0.00512143;0.815019
40;3.17396;0.317396;0.00512143;0.815019
41;1.73868;0.173868;0.00512143;0.51652
42;2.34269;0.234269;0.00512143;0.51652
43;1.40075;0.140075;0.00512143;0.310602
44;1.11014;0.111014;0.00512143;0.329288
45;0.830337;0.0830337;0.00512143;0.227007
46;0.619064;0.0619064;0.00512143;0.171821
47;0.862946;0.0862946;0.00287884;0.228554
48;0.972864;0.0972864;0.00207843;0.228554
49;0.478806;0.0478806;0.00207843;0.212757
50;0.177016;0.0177016;0.00207843;0.0563995
51;0.192488;0.0192488;0.00110364;0.0679786
52;0.111333;0.0111333;0.00110364;0.0264975
53;0.188427;0.0188427;0.000380843;0.0904564
54;0.147733;0.0147733;0.000380843;0.0389227
55;0.0594657;0.00594657;0.000380843;0.0170269
56;0.0472033;0.00472033;0.000380843;0.0111338
57;0.0443802;0.00443802;0.000380843;0.0111338
58;0.0317025;0.00317025;0.000380843;0.00864153
59;0.0263169;0.00263169;0.000380843;0.006826
60;0.0227332;0.00227332;0.000288884;0.00554069
61;0.0319973;0.00319973;0.000123623;0.0129321
62;0.0252749;0.00252749;0.000123623;0.00779707
63;0.0171188;0.00171188;0.000123623;0.00399768
64;0.015385;0.0015385;0.000123623;0.00399768
65;0.0398974;0.00398974;3.64528e-005;0.0251212
66;0.0123612;0.00123612;3.64528e-005;0.00399768
67;0.00853891;0.000853891;3.64528e-005;0.00325632
68;0.00262207;0.000262207;3.64528e-005;0.000678912
69;0.00240758;0.000240758;3.64528e-005;0.000697683
70;0.00241265;0.000241265;9.99017e-006;0.000697683
1;100.951;10.0951;8.37873;13.1009
2;118.338;11.8338;2.58853;29.254
3;102.397;10.2397;2.1456;18.5111
4;94.7848;9.47848;2.1456;26.0672
5;72.2385;7.22385;2.1456;26.0672
6;64.4652;6.44652;1.96093;15.9241
7;59.9297;5.99297;1.48691;12.3191
8;38.8917;3.88917;1.48691;10.4643
9;42.6012;4.26012;1.44604;13.9955
10;29.2896;2.92896;1.37173;5.24086
11;36.4468;3.64468;1.28455;11.4761
12;38.994;3.8994;1.28455;11.4761
13;31.8344;3.18344;1.28455;5.02964
14;19.3228;1.93228;1.28455;3.01082
15;19.7732;1.97732;1.28455;5.02179
16;16.6989;1.66989;1.1964;2.80072
17;16.6261;1.66261;1.06493;2.80072
18;15.0752;1.50752;1.06493;2.43718
19;12.4954;1.24954;1.06493;1.53567
20;13.4972;1.34972;1.05227;1.84711
21;11.6295;1.16295;1.03083;1.29678
22;11.1826;1.11826;1.03083;1.2343
23;11.252;1.1252;1.01891;1.38987
24;10.9326;1.09326;0.870596;1.2417
25;10.9658;1.09658;0.870596;1.2156
26;10.9131;1.09131;0.870596;1.2156
27;10.548;1.0548;0.870596;1.18925
28;10.2953;1.02953;0.692084;1.18925
29;9.96273;0.996273;0.692084;1.07727
30;10.1558;1.01558;0.692084;1.12329
31;9.56468;0.956468;0.692084;1.03759
32;10.0878;1.00878;0.56809;1.14241
33;10.135;1.0135;0.56809;1.14241
34;10.1083;1.01083;0.56809;1.13881
35;10.7111;1.07111;0.56809;1.61492
36;9.70929;0.970929;0.56809;1.07009
37;9.45474;0.945474;0.179106;1.07172
38;9.29637;0.929637;0.179106;1.05625
39;9.38702;0.938702;0.179106;1.04517
40;9.29823;0.929823;0.179106;1.04517
41;9.5037;0.95037;0.179106;1.12636
42;8.53099;0.853099;0.179106;1.09545
43;8.1836;0.81836;0.179106;1.03894
44;8.29137;0.829137;0.109849;1.03382
45;7.21257;0.721257;0.109849;1.02089
46;6.90284;0.690284;0.109849;1.04655
47;8.39749;0.839749;0.0456642;1.04447
48;7.03098;0.703098;0.0456642;1.0433
49;7.13735;0.713735;0.0456642;1.00963
50;7.10723;0.710723;0.0456642;1.10246
51;7.34029;0.734029;0.0456642;1.01671
52;6.75717;0.675717;0.0456642;1.01449
53;5.62828;0.562828;0.0456642;0.966042
54;4.97771;0.497771;0.0456642;1.01673
55;3.87876;0.387876;0.0456642;0.788795
56;3.01657;0.301657;0.0456642;0.627334
57;2.53108;0.253108;0.0456642;0.427639
58;2.27155;0.227155;0.0456642;0.515583
59;2.36748;0.236748;0.0389631;0.515583
60;1.25616;0.125616;0.00504474;0.483106
61;0.80614;0.080614;0.00504474;0.241888
62;0.66339;0.066339;0.00504474;0.185778
63;0.350983;0.0350983;0.00504474;0.143881
64;0.388527;0.0388527;0.0032507;0.0830548
65;0.278573;0.0278573;0.0032507;0.0782566
66;0.216683;0.0216683;0.0032507;0.0869643
67;0.193293;0.0193293;0.0032507;0.0592407
68;0.29441;0.029441;0.00142233;0.151556
69;0.595966;0.0595966;0.00142233;0.175167
70;0.267906;0.0267906;0.00142233;0.0771683
71;0.124582;0.0124582;0.00142233;0.0318598
72;0.111962;0.0111962;0.00142233;0.0275079
73;0.0810956;0.00810956;0.00142233;0.0196434
74;0.0689421;0.00689421;0.00142233;0.0193349
75;0.0610535;0.00610535;0.00142233;0.0161757
76;0.0383346;0.00383346;0.00142233;0.00895594
77;0.0586993;0.00586993;0.00126121;0.0216983
78;0.0593716;0.00593716;0.000511915;0.0142733
79;0.0364265;0.00364265;0.000511915;0.00906824
80;0.0466298;0.00466298;0.000147509;0.0262781
81;0.0625088;0.00625088;0.000147509;0.0262781
82;0.0307165;0.00307165;0.000147509;0.0084502
83;0.0252123;0.00252123;7.52092e-005;0.00648848
84;0.0159425;0.00159425;7.52092e-005;0.00318992
85;0.0136937;0.00136937;7.52092e-005;0.00276946
86;0.0103422;0.00103422;7.52092e-005;0.00270526
87;0.00717704;0.000717704;7.52092e-005;0.00134931
88;0.00974019;0.000974019;4.87674e-005;0.00271473
89;0.144854;0.0144854;4.27738e-005;0.0975133
90;0.0954971;0.00954971;4.27738e-005;0.027216
91;0.036657;0.0036657;4.27738e-005;0.0103403
92;0.0497938;0.00497938;4.27738e-005;0.0203437
93;0.0210192;0.00210192;4.27738e-005;0.00976048
94;0.0152285;0.00152285;4.27738e-005;0.00251564
95;0.0109275;0.00109275;4.27738e-005;0.00225417
96;0.0107487;0.00107487;4.27738e-005;0.00196487
97;0.0138657;0.00138657;4.27738e-005;0.00519693
98;0.00853163;0.000853163;4.27738e-005;0.0019499
99;0.294412;0.0294412;3.23552e-005;0.285686
100;0.165996;0.0165996;3.23552e-005;0.0826773
101;0.0049563;0.00049563;3.23552e-005;0.00140211
102;0.0030745;0.00030745;3.23552e-005;0.000587628
103;0.00353893;0.000353893;2.50251e-006;0.0013281
1;100.879;10.0879;6.14876;13.2089
2;137.711;13.7711;4.34352;30.7526
